"RG","TG"
"PER2_AKT1","PER2","AKT1"
"SPI1_AKT1","SPI1","AKT1"
"CD14_AKT1","CD14","AKT1"
"CCNA2_AKT1","CCNA2","AKT1"
"CCNA1_AKT1","CCNA1","AKT1"
"DUSP6_AKT1","DUSP6","AKT1"
"JUP_AKT1","JUP","AKT1"
"TCF7L1_AKT1","TCF7L1","AKT1"
"LEF1_AKT1","LEF1","AKT1"
"CCND1_AKT1","CCND1","AKT1"
"PPARD_AKT1","PPARD","AKT1"
"FLT3_AKT2","FLT3","AKT2"
"PIK3R2_AKT2","PIK3R2","AKT2"
"PIK3R3_AKT2","PIK3R3","AKT2"
"AKT3_AKT2","AKT3","AKT2"
"CHUK_AKT2","CHUK","AKT2"
"IKBKB_AKT2","IKBKB","AKT2"
"RELA_AKT2","RELA","AKT2"
"MTOR_AKT2","MTOR","AKT2"
"EIF4EBP1_AKT2","EIF4EBP1","AKT2"
"RPS6KB1_AKT2","RPS6KB1","AKT2"
"RPS6KB2_AKT2","RPS6KB2","AKT2"
"GRB2_AKT2","GRB2","AKT2"
"SOS1_AKT2","SOS1","AKT2"
"ARAF_AKT2","ARAF","AKT2"
"BRAF_AKT2","BRAF","AKT2"
"RAF1_AKT2","RAF1","AKT2"
"MAP2K1_AKT2","MAP2K1","AKT2"
"MAPK3_AKT2","MAPK3","AKT2"
"STAT3_AKT2","STAT3","AKT2"
"STAT5A_AKT2","STAT5A","AKT2"
"STAT5B_AKT2","STAT5B","AKT2"
"PIM2_AKT2","PIM2","AKT2"
"MPO_AKT2","MPO","AKT2"
"CSF2_AKT2","CSF2","AKT2"
"RUNX1T1_AKT2","RUNX1T1","AKT2"
"PML_AKT2","PML","AKT2"
"RARA_AKT2","RARA","AKT2"
"ZBTB16_AKT2","ZBTB16","AKT2"
"PER2_AKT2","PER2","AKT2"
"CD14_AKT2","CD14","AKT2"
"CEBPE_AKT2","CEBPE","AKT2"
"BCL2A1_AKT2","BCL2A1","AKT2"
"CCNA2_AKT2","CCNA2","AKT2"
"CCNA1_AKT2","CCNA1","AKT2"
"MYC_AKT2","MYC","AKT2"
"DUSP6_AKT2","DUSP6","AKT2"
"JUP_AKT2","JUP","AKT2"
"KIT_AKT3","KIT","AKT3"
"FLT3_AKT3","FLT3","AKT3"
"PIK3CA_AKT3","PIK3CA","AKT3"
"PIK3CD_AKT3","PIK3CD","AKT3"
"PIK3CB_AKT3","PIK3CB","AKT3"
"PIK3R1_AKT3","PIK3R1","AKT3"
"PIK3R3_AKT3","PIK3R3","AKT3"
"AKT1_AKT3","AKT1","AKT3"
"AKT2_AKT3","AKT2","AKT3"
"IKBKB_AKT3","IKBKB","AKT3"
"IKBKG_AKT3","IKBKG","AKT3"
"RELA_AKT3","RELA","AKT3"
"BAD_AKT3","BAD","AKT3"
"MTOR_AKT3","MTOR","AKT3"
"EIF4EBP1_AKT3","EIF4EBP1","AKT3"
"RPS6KB2_AKT3","RPS6KB2","AKT3"
"SOS1_AKT3","SOS1","AKT3"
"SOS2_AKT3","SOS2","AKT3"
"HRAS_AKT3","HRAS","AKT3"
"ARAF_AKT3","ARAF","AKT3"
"BRAF_AKT3","BRAF","AKT3"
"RAF1_AKT3","RAF1","AKT3"
"MAP2K1_AKT3","MAP2K1","AKT3"
"MAPK1_AKT3","MAPK1","AKT3"
"MAPK3_AKT3","MAPK3","AKT3"
"STAT5A_AKT3","STAT5A","AKT3"
"PIM1_AKT3","PIM1","AKT3"
